,Date,Calories,Fat (g),Carbohydrates (g),Protein (g)
134,2021-01-29,869.0,25.9,54.9,38.6
135,2021-01-29,621.5,14.5,99.5,11.0
136,2021-01-29,1002.0,51.2,114.3,22.3
137,2021-01-30,380.0,9.5,55.8,12.4
138,2021-01-30,291.6,9.5,32.5,16.8
139,2021-01-30,639.0,23.1,42.0,50.7
140,2021-01-30,650.0,13.8,46.4,19.6
141,2021-01-31,580.0,16.7,75.0,26.8
142,2021-01-31,1013.0,36.0,75.7,39.3
143,2021-01-31,229.0,0.1,54.0,0.0
144,2021-02-01,380.0,9.5,55.8,12.4
145,2021-02-01,594.4,30.8,51.1,28.2
146,2021-02-01,984.6,38.0,58.6,39.4
147,2021-02-01,459.0,0.1,107.0,0.0
148,2021-02-02,580.0,16.7,75.0,26.8
149,2021-02-02,984.0,39.0,62.9,36.5
150,2021-02-02,359.0,12.1,40.5,19.0
151,2021-02-02,808.0,21.0,135.2,11.8
152,2021-02-03,380.0,9.5,55.8,12.4
153,2021-02-03,1107.5,44.8,95.4,20.5
154,2021-02-03,1202.0,55.3,162.6,17.3
155,2021-02-03,140.0,0.0,32.0,0.0
156,2021-02-04,380.0,9.5,55.8,12.4
157,2021-02-04,819.0,24.1,50.1,35.0
158,2021-02-04,522.9,37.6,36.6,20.1
159,2021-02-05,580.0,16.7,75.0,26.8
160,2021-02-05,915.0,37.5,139.5,5.0
161,2021-02-05,250.0,6.0,40.0,9.0
162,2021-02-05,280.0,0.0,64.0,0.0
163,2021-02-06,580.0,16.7,75.0,26.8
164,2021-02-06,754.0,18.3,69.0,17.5
165,2021-02-06,183.3,4.5,26.5,4.8
166,2021-02-06,622.0,60.0,100.2,28.8
167,2021-02-07,380.0,9.5,55.8,12.4
168,2021-02-07,920.0,33.2,60.8,32.4
169,2021-02-07,772.8,35.3,108.0,14.5
170,2021-02-08,520.0,9.5,87.8,12.4
171,2021-02-08,656.0,21.3,107.9,5.7
172,2021-02-08,944.0,46.2,95.7,32.1
173,2021-02-09,380.0,9.5,55.8,12.4
174,2021-02-09,405.0,20.7,43.1,10.6
175,2021-02-10,1448.0,69.5,174.0,27.0
176,2021-02-10,200.0,7.2,19.2,14.4
177,2021-02-10,464.0,26.9,34.5,19.4
178,2021-02-10,250.0,6.0,40.0,9.0
179,2021-02-11,665.0,3.0,130.7,14.1
180,2021-02-11,569.0,26.9,58.5,19.4
181,2021-02-11,264.0,18.1,11.4,13.9
182,2021-02-12,265.0,4.5,44.0,9.0
183,2021-02-12,386.5,25.9,22.0,15.9
184,2021-02-12,579.1,31.6,65.7,7.8
185,2021-02-12,344.5,18.8,27.1,17.0
186,2021-02-13,610.4,15.6,83.5,26.4
187,2021-02-13,527.0,9.0,82.7,28.1
188,2021-02-13,410.0,10.2,4.8,12.4
189,2021-02-13,756.3,27.6,117.2,7.8
190,2021-02-14,848.0,12.4,91.4,22.0
191,2021-02-14,237.0,3.6,36.3,17.3
192,2021-02-14,527.5,35.2,70.0,10.0
193,2021-02-14,677.5,24.0,106.5,3.2
194,2021-02-15,630.0,2.0,129.8,9.4
195,2021-02-15,754.0,63.2,125.8,42.9
196,2021-02-15,948.8,24.9,133.0,39.3
197,2021-02-16,567.0,14.2,89.6,12.2
198,2021-02-16,961.6,37.4,128.9,25.3
199,2021-02-16,724.0,16.9,106.0,32.6
200,2021-02-16,300.0,9.8,40.4,12.5
201,2021-02-17,344.0,3.0,71.4,12.0
202,2021-02-17,546.0,20.2,83.4,5.4
203,2021-02-17,1536.8,68.8,170.7,62.8
204,2021-02-17,237.2,6.1,36.3,11.8
205,2021-02-18,490.0,2.0,97.8,9.4
206,2021-02-18,612.0,18.9,84.0,29.7
207,2021-02-18,895.0,32.5,122.8,25.3
208,2021-02-18,374.8,12.8,47.7,17.9
209,2021-02-19,530.0,11.8,85.8,11.8
210,2021-02-19,831.0,27.6,117.0,32.3
211,2021-02-19,1029.8,38.6,146.6,23.2
212,2021-02-20,350.0,2.0,65.8,9.4
213,2021-02-20,748.8,29.7,103.1,21.4
214,2021-02-20,709.2,15.5,77.4,55.2
215,2021-02-20,466.5,26.5,75.2,7.6
216,2021-02-21,350.0,2.0,65.8,9.4
217,2021-02-21,1507.8,106.7,202.2,77.4
218,2021-02-21,525.0,19.1,81.4,4.0
219,2021-02-22,350.0,2.0,65.8,9.4
220,2021-02-22,541.5,22.4,68.9,15.5
221,2021-02-22,381.5,12.6,60.5,3.0
222,2021-02-22,446.0,23.4,55.0,4.7
223,2021-02-23,391.0,13.2,56.7,7.5
224,2021-02-23,283.0,4.4,37.3,26.1
225,2021-02-23,649.5,22.0,85.7,28.6
226,2021-02-23,470.7,36.4,12.2,26.1
227,2021-02-24,339.8,11.5,44.3,15.4
228,2021-02-24,537.0,15.2,73.4,29.3
229,2021-02-24,270.3,19.3,11.8,13.9
230,2021-02-24,901.3,41.6,95.6,40.6
231,2021-02-25,796.7,30.1,93.0,34.1
232,2021-02-25,300.0,11.6,37.1,12.0
233,2021-02-25,237.0,3.6,36.3,17.3
234,2021-02-25,983.8,45.5,114.0,30.6
235,2021-02-26,796.7,30.1,93.0,34.1
236,2021-02-26,560.0,13.8,77.2,34.2
237,2021-02-26,560.0,22.0,82.0,6.0
238,2021-02-26,92.0,3.0,15.0,1.2
239,2021-02-27,1121.3,41.4,136.0,48.4
240,2021-02-27,1177.7,34.3,186.5,32.8
241,2021-02-27,370.0,17.2,35.8,16.1
242,2021-02-28,996.5,37.6,112.3,48.5
243,2021-02-28,532.5,13.7,73.3,31.3
244,2021-02-28,649.6,22.0,85.8,28.6
245,2021-02-28,402.0,10.2,74.1,4.2
246,2021-03-01,280.0,0.0,64.0,0.0
247,2021-03-02,88.0,0.0,19.4,1.2
248,2021-03-02,1970.6,92.0,202.8,85.8
249,2021-03-03,300.0,9.8,40.4,12.5
250,2021-03-03,518.7,10.2,81.7,30.2
251,2021-03-03,1175.7,42.4,123.3,74.7
252,2021-03-04,1114.3,52.1,107.2,49.2
253,2021-03-04,432.0,48.0,72.0,24.0
254,2021-03-04,371.2,27.2,2.0,30.8
255,2021-03-04,60.0,2.4,9.2,0.6
256,2021-03-05,321.0,18.6,19.7,16.5
257,2021-03-05,708.0,31.6,98.8,31.0
258,2021-03-05,918.3,37.7,115.2,30.5
259,2021-03-06,300.0,9.8,40.4,12.5
260,2021-03-06,527.0,36.2,20.5,28.3
261,2021-03-06,1370.3,53.9,164.7,64.2
262,2021-03-06,602.0,40.5,108.5,19.8
263,2021-03-07,821.0,45.1,60.5,41.1
264,2021-03-07,702.5,23.4,86.3,39.9
265,2021-03-07,278.4,20.4,1.5,23.1
266,2021-03-07,531.3,26.5,49.2,7.6
267,2021-03-08,503.0,32.7,18.9,29.4
268,2021-03-08,137.5,0.0,0.0,0.0
269,2021-03-08,1527.4,78.1,125.2,86.4
270,2021-03-08,375.0,12.0,36.0,12.0
271,2021-03-09,799.0,27.7,95.7,34.2
272,2021-03-09,557.7,14.1,76.9,33.3
273,2021-03-09,1133.6,47.0,118.9,40.4
274,2021-03-10,799.0,27.7,95.7,34.2
275,2021-03-10,702.5,23.4,86.3,39.9
276,2021-03-10,943.0,59.6,59.4,37.3
277,2021-03-11,914.0,38.2,96.9,39.6
278,2021-03-11,1229.6,42.4,160.5,34.0
279,2021-03-11,389.2,9.2,42.0,25.0
280,2021-03-12,811.0,29.4,96.5,33.7
281,2021-03-12,800.0,28.8,93.4,45.0
282,2021-03-12,732.2,26.7,100.5,22.5
283,2021-03-12,300.0,9.8,40.4,12.5
284,2021-03-13,811.0,29.4,96.5,33.7
285,2021-03-13,648.8,29.2,65.3,31.1
286,2021-03-13,245.3,12.4,24.4,3.0
287,2021-03-13,1176.0,33.8,192.4,22.1
288,2021-03-14,645.5,25.0,80.5,27.2
289,2021-03-14,404.6,12.6,52.8,22.8
290,2021-03-14,1099.1,45.8,139.9,33.4
291,2021-03-15,811.0,29.4,96.5,33.7
292,2021-03-15,694.6,27.4,85.5,28.0
293,2021-03-15,557.7,14.1,76.9,33.3
294,2021-03-16,724.0,37.2,60.5,34.9
295,2021-03-16,300.0,9.8,40.4,12.5
296,2021-03-16,1068.3,52.8,108.5,39.3
297,2021-03-17,160.5,9.3,9.8,8.3
298,2021-03-17,397.0,20.4,36.1,20.3
299,2021-03-17,1563.3,80.6,158.5,49.0
300,2021-03-17,300.0,9.8,40.4,12.5
301,2021-03-18,321.0,18.6,19.7,16.5
302,2021-03-18,664.0,29.4,73.8,24.9
303,2021-03-18,1185.6,50.4,151.9,32.8
304,2021-03-19,621.0,28.4,60.1,29.0
305,2021-03-19,462.0,9.8,80.9,12.5
306,2021-03-19,1200.6,70.2,81.4,56.2
307,2021-03-20,621.0,28.4,60.1,29.0
308,2021-03-20,891.5,36.0,119.4,23.9
309,2021-03-20,509.8,22.7,54.5,22.5
310,2021-03-21,321.0,18.6,19.7,16.5
311,2021-03-21,300.0,9.8,40.4,12.5
312,2021-03-21,495.2,14.7,56.4,33.0
313,2021-03-21,300.0,9.8,40.4,12.5
314,2021-03-22,424.0,27.4,20.1,22.4
315,2021-03-22,300.0,9.8,40.4,12.5
316,2021-03-22,724.0,25.9,87.9,33.5
317,2021-03-22,694.6,27.4,85.5,28.0
318,2021-03-23,424.0,27.4,20.1,22.4
319,2021-03-23,300.0,9.8,40.4,12.5
320,2021-03-23,324.0,36.0,54.0,18.0
321,2021-03-23,694.6,27.4,85.5,28.0
322,2021-03-24,662.2,31.9,60.3,31.4
323,2021-03-24,606.7,12.5,94.4,32.6
324,2021-03-24,346.7,22.7,23.6,15.4
325,2021-03-24,727.1,29.2,87.8,29.7
326,2021-03-25,662.2,31.9,60.3,31.4
327,2021-03-25,946.2,25.1,144.2,40.5
328,2021-03-25,1034.1,40.0,135.3,35.9
329,2021-03-26,662.2,31.9,60.3,31.4
330,2021-03-26,300.0,9.8,40.4,12.5
331,2021-03-26,727.1,29.2,87.8,29.7
332,2021-03-27,460.5,19.1,50.2,20.8
333,2021-03-27,300.0,9.8,40.4,12.5
334,2021-03-27,1190.6,66.5,102.1,48.3
335,2021-03-28,599.5,43.3,33.5,20.4
336,2021-03-28,565.0,14.3,88.2,19.3
337,2021-03-28,300.0,9.8,40.4,12.5
338,2021-03-28,727.1,29.2,87.8,29.7
339,2021-03-29,754.5,28.0,90.2,33.6
340,2021-03-29,986.3,46.9,104.2,41.1
341,2021-03-30,600.0,19.6,80.8,25.0
342,2021-03-30,606.5,37.4,71.0,21.5
343,2021-03-31,179.5,8.4,9.4,8.6
344,2021-03-31,600.0,19.6,80.8,25.0
345,2021-03-31,437.0,24.0,44.4,10.8
346,2021-03-31,727.1,29.2,87.8,29.7
347,2021-04-01,685.2,23.5,94.6,23.9
348,2021-04-01,887.9,53.6,97.0,49.7
349,2021-04-01,727.1,29.2,87.8,29.7
350,2021-04-02,1036.1,46.1,106.7,46.7
351,2021-04-02,484.0,40.8,76.2,19.8
352,2021-04-02,509.8,22.7,54.5,22.5
353,2021-04-03,417.0,28.9,36.9,23.0
354,2021-04-03,300.0,9.8,40.4,12.5
355,2021-04-03,392.0,24.0,41.6,4.8
356,2021-04-03,759.6,31.0,90.2,31.4
357,2021-04-04,309.0,16.9,18.9,17.0
358,2021-04-04,759.6,31.0,90.2,31.4
359,2021-04-04,893.9,38.8,105.3,33.2
360,2021-04-05,908.8,42.8,88.2,40.7
361,2021-04-05,814.7,25.8,139.2,11.3
362,2021-04-05,509.8,22.7,54.5,22.5
363,2021-04-06,745.5,36.1,67.7,35.7
364,2021-04-06,300.0,9.8,40.4,12.5
365,2021-04-06,341.0,3.5,54.6,26.4
366,2021-04-06,509.8,22.7,54.5,22.5
367,2021-04-07,637.0,18.9,93.2,26.5
368,2021-04-07,884.9,39.6,93.1,40.8
369,2021-04-07,70.0,2.2,11.4,1.6
370,2021-04-08,509.8,22.7,54.5,22.5
371,2021-04-08,300.0,9.8,40.4,12.5
372,2021-04-08,300.0,9.8,40.4,12.5
373,2021-04-08,759.6,31.0,90.2,31.4
374,2021-04-09,154.5,8.4,9.4,8.6
375,2021-04-09,420.0,15.8,50.6,19.7
376,2021-04-09,1083.6,67.0,144.2,49.4
377,2021-04-10,1149.1,49.6,130.7,46.7
378,2021-04-10,432.0,48.0,72.0,24.0
379,2021-04-11,509.8,22.7,54.5,22.5
380,2021-04-11,624.0,45.8,94.4,30.5
381,2021-04-11,542.3,24.5,56.9,24.2
382,2021-04-12,193.3,11.6,9.4,11.0
383,2021-04-12,600.0,19.6,80.8,25.0
384,2021-04-12,694.6,27.4,85.5,28.0
385,2021-04-13,300.0,9.8,40.4,12.5
386,2021-04-13,994.6,37.2,125.9,40.5
387,2021-04-13,759.8,31.4,95.2,22.5
388,2021-04-14,444.8,19.1,49.8,19.1
389,2021-04-14,300.0,9.8,40.4,12.5
390,2021-04-14,300.0,9.8,40.4,12.5
391,2021-04-14,694.6,27.4,85.5,28.0
392,2021-04-15,694.6,27.4,85.5,28.0
393,2021-04-15,651.0,22.1,84.7,28.0
394,2021-04-15,694.6,27.4,85.5,28.0
395,2021-04-16,694.6,27.4,85.5,28.0
396,2021-04-16,694.6,27.4,85.5,28.0
397,2021-04-16,799.6,26.4,111.8,30.3
398,2021-04-17,759.6,31.0,90.2,31.4
399,2021-04-17,300.0,12.0,36.0,12.0
400,2021-04-17,759.6,31.0,90.2,31.4
401,2021-04-18,759.6,31.0,90.2,31.4
402,2021-04-19,1003.4,31.0,153.2,31.4
403,2021-04-19,809.8,32.5,94.9,35.0
404,2021-04-19,759.6,31.0,90.2,31.4
405,2021-04-20,591.1,22.7,75.5,22.5
406,2021-04-20,300.0,9.8,40.4,12.5
407,2021-04-20,840.9,31.0,111.2,31.4
408,2021-04-21,840.9,31.0,111.2,31.4
409,2021-04-21,300.0,9.8,40.4,12.5
410,2021-04-21,404.2,14.6,54.4,14.9
411,2021-04-22,300.0,9.8,40.4,12.5
412,2021-04-22,300.0,9.8,40.4,12.5
413,2021-04-22,856.4,31.0,115.2,31.4
414,2021-04-23,856.4,31.0,115.2,31.4
415,2021-04-23,856.4,31.0,115.2,31.4
416,2021-04-24,856.4,31.0,115.2,31.4
417,2021-04-24,856.4,31.0,115.2,31.4
418,2021-04-25,600.0,19.6,80.8,25.0
419,2021-04-25,300.0,9.8,40.4,12.5
420,2021-04-25,759.6,31.0,90.2,31.4
421,2021-04-26,953.1,31.0,140.2,31.4
422,2021-04-26,300.0,9.8,40.4,12.5
423,2021-04-26,953.1,31.0,140.2,31.4
424,2021-04-27,953.1,31.0,140.2,31.4
425,2021-04-27,600.0,19.6,80.8,25.0
426,2021-04-28,856.4,31.0,115.2,31.4
427,2021-04-28,600.0,19.6,80.8,25.0
428,2021-04-29,300.0,9.8,40.4,12.5
429,2021-04-29,600.0,19.6,80.8,25.0
430,2021-04-29,856.4,31.0,115.2,31.4
431,2021-04-30,856.4,31.0,115.2,31.4
432,2021-04-30,300.0,9.8,40.4,12.5
433,2021-05-01,856.4,31.0,115.2,31.4
434,2021-05-02,856.4,31.0,115.2,31.4
435,2021-05-02,856.4,31.0,115.2,31.4
436,2021-05-02,40.0,0.0,11.0,0.0
437,2021-05-03,856.4,31.0,115.2,31.4
438,2021-05-03,875.7,31.0,120.2,31.4
439,2021-05-04,875.7,31.0,120.2,31.4
440,2021-05-04,875.7,31.0,120.2,31.4
441,2021-05-05,856.4,31.0,115.2,31.4
442,2021-05-05,856.4,31.0,115.2,31.4
443,2021-05-06,856.4,31.0,115.2,31.4
444,2021-05-06,550.7,20.1,73.6,20.3
445,2021-05-07,395.7,13.7,55.3,14.0
446,2021-05-07,856.4,31.0,115.2,31.4
447,2021-05-08,856.4,31.0,115.2,31.4
448,2021-05-08,856.4,31.0,115.2,31.4
449,2021-05-09,856.4,31.0,115.2,31.4
450,2021-05-09,40.0,0.0,11.0,0.0
451,2021-05-09,856.4,31.0,115.2,31.4
452,2021-05-09,300.0,9.8,40.4,12.5
453,2021-05-10,856.4,31.0,115.2,31.4
454,2021-05-10,856.4,31.0,115.2,31.4
455,2021-05-11,856.4,31.0,115.2,31.4
456,2021-05-11,40.0,0.0,11.0,0.0
457,2021-05-11,300.0,9.8,40.4,12.5
458,2021-05-12,856.4,31.0,115.2,31.4
459,2021-05-12,856.4,31.0,115.2,31.4
460,2021-05-12,72.6,0.0,18.7,0.0
461,2021-05-13,856.4,31.0,115.2,31.4
462,2021-05-13,96.8,0.0,25.0,0.0
463,2021-05-13,856.4,31.0,115.2,31.4
464,2021-05-13,96.8,0.0,25.0,0.0
465,2021-05-14,300.0,9.8,40.4,12.5
466,2021-05-14,856.4,31.0,115.2,31.4
467,2021-05-14,956.8,34.0,124.6,38.6
468,2021-05-14,96.8,0.0,25.0,0.0
469,2021-05-15,856.4,31.0,115.2,31.4
470,2021-05-15,96.8,0.0,25.0,0.0
471,2021-05-15,856.4,31.0,115.2,31.4
472,2021-05-16,856.4,31.0,115.2,31.4
473,2021-05-16,96.8,0.0,25.0,0.0
474,2021-05-16,856.4,31.0,115.2,31.4
475,2021-05-17,856.4,31.0,115.2,31.4
476,2021-05-17,900.0,29.4,121.2,37.5
477,2021-05-17,759.6,31.0,90.2,31.4
478,2021-05-18,96.8,0.0,25.0,0.0
479,2021-05-18,900.0,29.4,121.2,37.5
480,2021-05-18,856.4,31.0,115.2,31.4
481,2021-05-18,650.3,19.6,93.8,25.0
482,2021-05-19,600.0,19.6,80.8,25.0
483,2021-05-19,646.4,19.6,92.8,25.0
484,2021-05-19,856.4,31.0,115.2,31.4
485,2021-05-19,12.9,0.0,3.3,0.0
486,2021-05-20,428.2,15.5,57.6,15.7
487,2021-05-20,696.8,19.6,105.8,25.0
488,2021-05-20,856.4,31.0,115.2,31.4
489,2021-05-21,856.4,31.0,115.2,31.4
490,2021-05-21,96.8,0.0,25.0,0.0
491,2021-05-21,856.4,31.0,115.2,31.4
492,2021-05-22,856.4,31.0,115.2,31.4
493,2021-05-22,900.0,29.4,121.2,37.5
494,2021-05-22,300.0,9.8,40.4,12.5
495,2021-05-22,96.8,0.0,25.0,0.0
496,2021-05-23,300.0,9.8,40.4,12.5
497,2021-05-23,856.4,31.0,115.2,31.4
498,2021-05-24,300.0,9.8,40.4,12.5
499,2021-05-24,396.8,9.8,65.4,12.5
500,2021-05-24,1041.2,35.7,146.2,36.9
501,2021-05-24,96.8,0.0,25.0,0.0
502,2021-05-25,1041.2,35.7,146.2,36.9
503,2021-05-25,96.8,0.0,25.0,0.0
504,2021-05-25,849.8,27.9,116.5,33.9
505,2021-05-25,96.8,0.0,25.0,0.0
506,2021-05-26,338.7,9.8,50.4,12.5
507,2021-05-26,416.1,9.8,70.4,12.5
508,2021-05-26,991.8,31.0,150.2,31.4
509,2021-05-27,300.0,9.8,40.4,12.5
510,2021-05-27,416.1,9.8,70.4,12.5
511,2021-05-27,875.7,31.0,120.2,31.4
512,2021-05-27,416.1,9.8,70.4,12.5
513,2021-05-28,358.1,9.8,55.4,12.5
514,2021-05-28,300.0,9.8,40.4,12.5
515,2021-05-28,875.7,31.0,120.2,31.4
516,2021-05-29,358.1,9.8,55.4,12.5
517,2021-05-29,600.0,19.6,80.8,25.0
518,2021-05-29,1175.7,40.8,160.6,43.9
519,2021-05-30,875.7,31.0,120.2,31.4
520,2021-05-30,658.1,19.6,95.8,25.0
521,2021-05-30,991.8,31.0,150.2,31.4
522,2021-05-31,600.0,19.6,80.8,25.0
523,2021-05-31,300.0,9.8,40.4,12.5
524,2021-05-31,875.7,31.0,120.2,31.4
525,2021-06-01,600.0,19.6,80.8,25.0
526,2021-06-01,416.1,9.8,70.4,12.5
527,2021-06-01,629.6,23.8,80.8,24.6
528,2021-06-02,600.0,19.6,80.8,25.0
529,2021-06-02,1016.1,29.4,151.2,37.5
530,2021-06-02,875.7,31.0,120.2,31.4
531,2021-06-03,602.8,18.9,89.3,17.3
532,2021-06-03,972.5,31.0,145.2,31.4
533,2021-06-03,1069.3,31.0,170.2,31.4
534,2021-06-04,600.0,19.6,80.8,25.0
535,2021-06-04,703.3,22.7,104.5,22.5
536,2021-06-04,583.8,18.8,84.4,17.3
537,2021-06-04,655.0,22.7,92.0,22.5
538,2021-06-05,648.4,19.6,93.3,25.0
539,2021-06-05,1049.9,31.0,165.2,31.4
540,2021-06-06,890.4,31.7,123.5,27.3
541,2021-06-06,703.4,22.7,104.5,22.5
542,2021-06-06,906.6,32.5,119.9,35.0
543,2021-06-07,300.0,9.8,40.4,12.5
544,2021-06-07,1140.1,40.0,159.2,36.2
545,2021-06-07,622.9,23.6,80.7,23.3
546,2021-06-08,948.4,29.4,133.7,37.5
547,2021-06-08,299.5,8.4,47.3,6.9
548,2021-06-08,856.4,31.0,115.2,31.4
549,2021-06-08,377.4,9.8,60.4,12.5
550,2021-06-09,396.8,9.8,65.4,12.5
551,2021-06-09,1003.4,32.5,144.9,35.0
552,2021-06-09,1253.1,40.8,180.6,43.9
553,2021-06-10,507.8,20.9,54.4,16.2
554,2021-06-10,1156.4,40.8,155.6,43.9
555,2021-06-10,906.6,32.5,119.9,35.0
556,2021-06-11,696.8,19.6,105.8,25.0
